StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000526348ns,h16,h23,2,1,3332655B,0
1000546947ns,h4,h23,2,1,1579544B,0
1000604294ns,h13,h20,2,1,54747B,0
1000659709ns,h8,h22,2,1,25891B,0
1000947499ns,h6,h23,2,1,75678B,0
1000996108ns,h3,h23,2,1,51138B,0
1001181727ns,h9,h22,2,1,1837985B,0
1001282415ns,h12,h23,2,1,30662B,0
1001306856ns,h5,h22,2,1,67676B,0
1001598235ns,h10,h21,2,1,171512B,0
1001625204ns,h6,h21,2,1,5579491B,0
1001758345ns,h15,h22,2,1,74158B,0
1001791975ns,h10,h21,2,2,28183B,0
1002473114ns,h5,h20,2,1,1558042B,0
1002573327ns,h14,h22,2,1,346951B,0
1002589471ns,h2,h21,2,1,25050B,0
1002664667ns,h6,h22,2,1,5696161B,0
1002795579ns,h7,h20,2,1,18523650B,0
1003215498ns,h6,h20,2,1,2306517B,0
1003384940ns,h3,h22,2,1,5154710B,0
1003385130ns,h12,h23,2,2,32029B,0
1003396228ns,h1,h20,2,1,1298317B,0
1003410752ns,h3,h22,2,2,4965148B,0
1003481250ns,h15,h23,2,1,871871B,0
1003637770ns,h13,h22,2,1,66648B,0
1003639857ns,h13,h21,2,1,6713B,0
1003756494ns,h14,h23,2,1,57885B,0
1004325079ns,h1,h23,2,1,287095B,0
1004357425ns,h11,h22,2,1,5929360B,0
1004667772ns,h6,h20,2,2,9757597B,0
1004835434ns,h1,h20,2,2,67771B,0
1004881785ns,h13,h20,2,2,3959297B,0
1004902664ns,h8,h23,2,1,26049B,0
1004916512ns,h16,h20,2,1,2150834B,0
1005075411ns,h11,h23,2,1,112055B,0
1005222476ns,h1,h22,2,1,936B,0
1005363629ns,h9,h21,2,1,1197046B,0
1005400281ns,h8,h22,2,2,49764B,0
1005494742ns,h15,h20,2,1,2745349B,0
1005516712ns,h9,h21,2,2,745225B,0
1005706792ns,h12,h21,2,1,76B,0
1005779813ns,h7,h21,2,1,71594B,0
1005917573ns,h12,h21,2,2,4028083B,0
1006104390ns,h8,h23,2,2,24391B,0
1006248860ns,h2,h20,2,1,35040B,0
1006249391ns,h10,h20,2,1,4114136B,0
1006307001ns,h1,h22,2,2,18213B,0
1006411775ns,h13,h23,2,1,144304B,0
1006590635ns,h3,h20,2,1,23861B,0
1006789187ns,h15,h22,2,2,9824303B,0
1007242503ns,h7,h22,2,1,2095384B,0
1007447224ns,h14,h20,2,1,61069B,0
1007551581ns,h8,h22,2,3,5363B,0
1007667940ns,h10,h21,2,3,34010B,0
1007863883ns,h15,h22,2,3,74909B,0
1007961454ns,h4,h23,2,2,7345273B,0
1008042422ns,h11,h20,2,1,7270B,0
1008098906ns,h13,h23,2,2,116458B,0
1008155590ns,h12,h22,2,1,1065614B,0
1008207520ns,h3,h21,2,1,109898B,0
1008247147ns,h15,h22,2,4,2434005B,0
1008293946ns,h10,h21,2,4,97629B,0
1008334285ns,h14,h21,2,1,9559896B,0
1008338734ns,h4,h21,2,1,225485B,0
1008379316ns,h3,h20,2,2,178772B,0
1008398483ns,h6,h22,2,2,60382B,0
1008678133ns,h5,h23,2,1,193634B,0
1008898172ns,h7,h20,2,2,46980B,0
1009116255ns,h8,h20,2,1,158258B,0
1009323673ns,h2,h21,2,2,29032B,0
1009337087ns,h12,h21,2,3,17878B,0
1009774197ns,h11,h20,2,2,17345B,0
1009804309ns,h7,h20,2,3,302185B,0
1009912267ns,h2,h23,2,1,653275B,0
1010050246ns,h13,h22,2,2,67660B,0
1010097939ns,h5,h21,2,1,5988B,0
1010446180ns,h9,h21,2,3,1576039B,0
1010833976ns,h15,h23,2,2,4303111B,0
1011173306ns,h16,h22,2,1,6670072B,0
1011346339ns,h8,h23,2,3,3273806B,0
1011538845ns,h2,h23,2,2,4945193B,0
1011539301ns,h9,h22,2,2,6648745B,0
1011680091ns,h5,h20,2,2,98171B,0
1011696214ns,h9,h22,2,3,48259B,0
1011712091ns,h4,h20,2,1,1052833B,0
1012115656ns,h10,h23,2,1,27563B,0
1012366672ns,h1,h22,2,3,2348861B,0
1012384189ns,h12,h21,2,4,3484578B,0
1012549255ns,h3,h21,2,2,4851169B,0
1012776659ns,h3,h20,2,3,182516B,0
1012804481ns,h15,h22,2,5,8554633B,0
1012874916ns,h1,h20,2,3,165191B,0
1012912609ns,h9,h21,2,4,61668B,0
1013023402ns,h14,h22,2,2,681963B,0
1013080501ns,h6,h21,2,2,27505226B,0
1013216952ns,h14,h22,2,3,6210086B,0
1013230828ns,h11,h23,2,2,1933250B,0
1013231261ns,h3,h20,2,4,5491B,0
1013315320ns,h11,h20,2,3,302264B,0
1013369348ns,h6,h21,2,3,69948B,0
1013411913ns,h5,h21,2,2,441178B,0
1013527659ns,h4,h20,2,2,3352327B,0
1013577051ns,h4,h20,2,3,24303B,0
1013612843ns,h1,h20,2,4,1314892B,0
1013918913ns,h7,h20,2,4,7808B,0
1014416680ns,h2,h21,2,3,22046B,0
1014763892ns,h6,h20,2,3,1945829B,0
1014784254ns,h12,h23,2,3,36507B,0
1014788273ns,h3,h20,2,5,2477392B,0
1014855939ns,h3,h22,2,3,6707B,0
1014895866ns,h3,h20,2,6,9757B,0
1015314534ns,h1,h20,2,5,981365B,0
1015322558ns,h2,h20,2,2,3015B,0
1015400485ns,h14,h21,2,2,155198B,0
1015416727ns,h4,h21,2,2,5715429B,0
1015484886ns,h7,h20,2,5,87196B,0
1015495123ns,h5,h23,2,2,844713B,0
1015509892ns,h13,h21,2,2,1779B,0
1015519593ns,h10,h20,2,2,479999B,0
1015537189ns,h5,h20,2,3,250707B,0
1015563993ns,h2,h23,2,3,158776B,0
1015607666ns,h6,h20,2,4,48241B,0
1015687874ns,h1,h22,2,4,44027B,0
1015693459ns,h15,h20,2,2,17011100B,0
1015714956ns,h10,h21,2,5,2426B,0
1015832089ns,h14,h20,2,2,1442B,0
1015888145ns,h8,h22,2,4,9359377B,0
1015905421ns,h14,h22,2,4,16994B,0
1016001706ns,h9,h23,2,1,8259B,0
1016019459ns,h2,h21,2,4,21057B,0
1016056405ns,h15,h20,2,3,2022397B,0
1016082332ns,h8,h23,2,4,7640654B,0
1016086608ns,h5,h20,2,4,1518B,0
1016407548ns,h9,h20,2,1,55912B,0
1016475022ns,h1,h23,2,2,6766B,0
1016521970ns,h13,h21,2,3,25991B,0
1016746396ns,h9,h22,2,4,22082B,0
1016829965ns,h2,h22,2,1,575405B,0
1016855558ns,h9,h23,2,2,40058B,0
1016993504ns,h10,h21,2,6,16063B,0
1017507978ns,h6,h21,2,4,73916B,0
1017710948ns,h11,h20,2,4,2625B,0
1017758365ns,h10,h21,2,7,6728B,0
1018034767ns,h6,h21,2,5,22156765B,0
1018361314ns,h4,h22,2,1,19871B,0
1018385510ns,h6,h22,2,3,41711B,0
1018457212ns,h15,h20,2,4,1315983B,0
1018513365ns,h1,h23,2,3,3149796B,0
1018824285ns,h10,h21,2,8,6320147B,0
1018888274ns,h2,h20,2,3,13884B,0
1019348322ns,h6,h23,2,2,781124B,0
1019368900ns,h11,h23,2,3,9753493B,0
1019408412ns,h8,h22,2,5,3870B,0
1019505429ns,h10,h22,2,1,809614B,0
1019525785ns,h4,h23,2,3,3362737B,0
1019528271ns,h10,h22,2,2,38462B,0
1019694791ns,h2,h21,2,5,25068B,0
1019780168ns,h2,h20,2,4,194499B,0
1019810259ns,h1,h23,2,4,59764B,0
1019896286ns,h11,h20,2,5,14963B,0
1019993976ns,h15,h22,2,6,66528B,0
1020263589ns,h9,h20,2,2,52285B,0
1020275466ns,h10,h22,2,3,147050B,0
1020311510ns,h1,h21,2,1,75061B,0
1020382037ns,h2,h21,2,6,32289B,0
1020530346ns,h7,h23,2,1,41430B,0
1020662594ns,h5,h22,2,2,3129835B,0
1020786558ns,h15,h22,2,7,25093B,0
1020819065ns,h3,h22,2,4,132457B,0
1020883300ns,h9,h21,2,5,829B,0
1020909466ns,h8,h22,2,6,1415743B,0
1020912250ns,h8,h23,2,5,37183B,0
1021087811ns,h10,h23,2,2,3046B,0
1021302098ns,h8,h20,2,2,28088B,0
1021373436ns,h16,h20,2,2,24013B,0
1021682890ns,h15,h21,2,1,8794952B,0
1021795890ns,h3,h22,2,5,40445B,0
1021801634ns,h8,h21,2,1,28787B,0
1021830847ns,h10,h21,2,9,41840B,0
1021972772ns,h12,h21,2,5,8350416B,0
1021995729ns,h4,h23,2,4,469982B,0
1022215462ns,h2,h23,2,4,368614B,0
1022301689ns,h7,h23,2,2,1156193B,0
1022551488ns,h15,h20,2,5,47603B,0
1022638938ns,h15,h23,2,3,53327B,0
1022666905ns,h6,h23,2,3,606662B,0
1022723851ns,h13,h20,2,3,101B,0
1022803924ns,h9,h21,2,6,18461B,0
1022807636ns,h10,h23,2,3,36880B,0
1022912109ns,h12,h20,2,1,23941B,0
1022957844ns,h5,h22,2,3,499195B,0
1023037083ns,h13,h21,2,4,45729B,0
1023204197ns,h2,h23,2,5,4262701B,0
1023214616ns,h6,h23,2,4,145402B,0
1023225151ns,h16,h20,2,3,53324B,0
1023334330ns,h8,h20,2,3,50523B,0
1023714829ns,h15,h23,2,4,1018296B,0
1023897383ns,h6,h22,2,4,54206B,0
1024014717ns,h14,h22,2,5,697567B,0
1024026953ns,h10,h23,2,4,3118B,0
1024172690ns,h9,h20,2,3,60465B,0
1024204547ns,h4,h23,2,5,25922B,0
1024282703ns,h7,h21,2,2,11537B,0
1024363638ns,h4,h20,2,4,79439B,0
1024373343ns,h16,h21,2,1,70138B,0
1024394854ns,h14,h20,2,3,133837B,0
1024416509ns,h12,h23,2,4,1554847B,0
1024449751ns,h2,h23,2,6,4516254B,0
1024888184ns,h2,h22,2,2,71826B,0
1025110238ns,h12,h20,2,2,32411B,0
1025114546ns,h12,h21,2,6,65436B,0
1025311305ns,h16,h20,2,4,2271375B,0
1025482469ns,h11,h20,2,6,4250489B,0
1025528785ns,h5,h20,2,5,2372447B,0
1025597757ns,h3,h21,2,3,17600B,0
1025670119ns,h1,h20,2,6,29613572B,0
1025670298ns,h11,h21,2,1,464710B,0
1025759851ns,h5,h22,2,4,5564B,0
1026002833ns,h9,h22,2,5,1255543B,0
1026195517ns,h9,h21,2,7,21214320B,0
1026269883ns,h11,h20,2,7,50419B,0
1026356574ns,h8,h23,2,6,828120B,0
1026466250ns,h14,h23,2,2,33235B,0
1026511444ns,h8,h20,2,4,21352B,0
1026642862ns,h7,h20,2,6,1173241B,0
1026683060ns,h16,h22,2,2,157B,0
1026952120ns,h6,h23,2,5,2681942B,0
1026967188ns,h13,h20,2,4,79618B,0
1027052526ns,h14,h22,2,6,6518B,0
1027192286ns,h11,h21,2,2,7926B,0
1027194409ns,h2,h22,2,3,594123B,0
1027213510ns,h6,h20,2,5,4209614B,0
1027510205ns,h3,h21,2,4,27998B,0
1027510741ns,h15,h22,2,8,15676791B,0
1027544428ns,h3,h20,2,7,6678B,0
1027586516ns,h15,h20,2,6,3618143B,0
1027612606ns,h8,h20,2,5,49339B,0
1027809112ns,h6,h21,2,6,5423B,0
1027970351ns,h11,h22,2,2,27471B,0
1028272535ns,h12,h22,2,2,62225B,0
1028310220ns,h13,h22,2,3,1923415B,0
1028350864ns,h12,h20,2,3,3840797B,0
1028972890ns,h14,h23,2,3,8894B,0
1029078270ns,h15,h23,2,5,77892B,0
1029446240ns,h1,h23,2,5,606265B,0
1029512031ns,h7,h22,2,2,39410B,0
1029629969ns,h3,h21,2,5,4155915B,0
1029706956ns,h9,h21,2,8,27840B,0
1030289688ns,h16,h23,2,2,1238B,0
1030480447ns,h3,h22,2,6,2710B,0
1030556594ns,h12,h20,2,4,847974B,0
1030572906ns,h12,h21,2,7,128609B,0
1030714985ns,h16,h21,2,2,8321611B,0
1030834363ns,h13,h22,2,4,7745628B,0
1030871755ns,h12,h22,2,3,5703655B,0
1030917345ns,h14,h22,2,7,2800B,0
1030944851ns,h2,h22,2,4,1491348B,0
1031116179ns,h9,h20,2,4,1013248B,0
1031192981ns,h9,h22,2,6,642894B,0
1031352703ns,h15,h20,2,7,1123576B,0
1031377601ns,h7,h20,2,7,5193582B,0
1031455299ns,h16,h22,2,3,521129B,0
1031519642ns,h9,h21,2,9,44489B,0
1031670982ns,h14,h21,2,3,93592B,0
1032001554ns,h7,h22,2,3,20784B,0
1032095158ns,h3,h22,2,7,177929B,0
1032265810ns,h4,h23,2,6,593B,0
1032304921ns,h14,h21,2,4,10204B,0
1032356090ns,h4,h22,2,2,36681B,0
1032362638ns,h11,h20,2,8,1896231B,0
1032371950ns,h16,h23,2,3,1184994B,0
1032496798ns,h11,h21,2,3,37651B,0
1032595390ns,h3,h20,2,8,364304B,0
1032666240ns,h14,h22,2,8,2746B,0
1032713601ns,h2,h21,2,7,12772B,0
1032769877ns,h5,h20,2,6,17942713B,0
1032857342ns,h14,h22,2,9,28953B,0
1032897636ns,h6,h23,2,6,48958B,0
1032957403ns,h8,h22,2,7,111687B,0
1032971046ns,h9,h22,2,7,29340B,0
1033185585ns,h12,h23,2,5,68014B,0
1033188406ns,h7,h20,2,8,23970B,0
1033223777ns,h11,h20,2,9,3217B,0
1033314043ns,h16,h23,2,4,15917B,0
1033573162ns,h3,h23,2,2,78396B,0
1033679792ns,h13,h22,2,5,4724B,0
1033699377ns,h1,h22,2,5,50731B,0
1033707464ns,h4,h20,2,5,35704B,0
1033725984ns,h8,h23,2,7,53397B,0
1033879797ns,h11,h20,2,10,6626B,0
1033942585ns,h5,h23,2,3,5618396B,0
1034066893ns,h5,h23,2,4,67077B,0
1034161476ns,h9,h20,2,5,3225449B,0
1034203398ns,h7,h22,2,4,14152971B,0
1034228380ns,h5,h22,2,5,38730B,0
1034242767ns,h5,h21,2,3,68250B,0
1034318587ns,h7,h21,2,3,996762B,0
1034567046ns,h4,h23,2,7,56123B,0
1035156452ns,h5,h20,2,7,30380B,0
1035380775ns,h12,h20,2,5,1347509B,0
1035498216ns,h1,h20,2,7,4831993B,0
